FCSUBTYPE,FCSUBTYPE_desc,STYLE_NAME,FULL_NAME,DATEFEATURECREATED,DATEFEATUREMODIFIED,ACCESSLEVEL,METADATAID,FEATURETEXT,NAMEID,GLOBALID,BUILDINGTYPE,BUILDINGTYPE_desc,HEIGHT,CAPTUREMETHOD,CAPTUREMETHOD_desc,DATASOURCE,DATASOURCE_desc,PLANACCURACY,SPATIALRELIABILITYDATE,ATTRIBUTERELIABILITYDATE,TARGETDISPLAYSCALE,TARGETDISPLAYSCALE_desc,DATACUSTODIAN,DATACUSTODIAN_desc,gx_id
-98,,BuildingPolygon,,16/02/2007,01/12/2008,0,100107,,-98,{E9B38800-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1479
-98,,BuildingPolygon,,16/02/2007,,0,481,,-98,{E8B7024C-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,10/12/1991,10/12/1991,25000,1:25000,3,LANDGATE,148
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B3935E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1480
-98,,BuildingPolygon,,16/02/2007,06/06/2013,0,101491,,-98,{E9B39BEC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1481
-98,,BuildingPolygon,,16/02/2007,08/10/2008,0,100107,,-98,{E9B3A6FA-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1482
-98,,BuildingPolygon,,16/02/2007,28/11/2013,0,101491,,-98,{E9B3AFC4-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1483
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B3BAC8-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1484
-98,,BuildingPolygon,,16/02/2007,10/10/2008,0,100107,,-98,{E9B3C298-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1485
-98,,BuildingPolygon,,16/02/2007,28/11/2013,0,101491,,-98,{E9B3CD1A-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1486
-98,,BuildingPolygon,,16/02/2007,26/08/2008,0,100107,,-98,{E9B3D6AC-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1487
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B3E124-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1488
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B3E908-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1489
-98,,BuildingPolygon,,16/02/2007,,0,467,,-98,{E8B71714-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,02/02/2000,02/02/2000,25000,1:25000,3,LANDGATE,149
-98,,BuildingPolygon,,16/02/2007,08/09/2008,0,100107,,-98,{E9B3F358-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1490
-98,,BuildingPolygon,,16/02/2007,14/08/2008,0,100107,,-98,{E9B405A0-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1491
-98,,BuildingPolygon,,16/02/2007,14/08/2008,0,100107,,-98,{E9B40D7A-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1492
-98,,BuildingPolygon,,16/02/2007,02/09/2011,0,101046,,-98,{E9B417DE-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,22/02/2011,22/02/2011,25000,1:25000,3,LANDGATE,1493
-98,,BuildingPolygon,,16/02/2007,08/06/2009,0,100107,,-98,{E9B41FAE-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1494
-98,,BuildingPolygon,,16/02/2007,,0,457,,-98,{E9B429FE-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,4,Scan_Vectorise,3,1:25000TopographicSeriesByLANDGATE,13.3,23/01/1985,23/01/1985,25000,1:25000,3,LANDGATE,1495
-98,,BuildingPolygon,,16/02/2007,22/07/2009,0,100126,,-98,{E9B431CE-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,06/12/2008,06/12/2008,20000,1:20000,3,LANDGATE,1496
-98,,BuildingPolygon,,16/02/2007,03/12/2008,0,100107,,-98,{E9B43C28-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1497
-98,,BuildingPolygon,,16/02/2007,04/12/2008,0,100107,,-98,{E9B44416-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1498
-98,,BuildingPolygon,,16/02/2007,03/12/2008,0,100107,,-98,{E9B44E98-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1499
-98,,BuildingPolygon,,16/02/2007,14/10/2009,0,909,,-98,{E8A7FD42-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,12,CitiesAndTownsSeriesByLANDGATE,6.7,01/01/2009,01/01/2009,20000,1:20000,3,LANDGATE,15
