Lat,Lon,Elev.(meters)
-32.41,115.36,-32768.000
-33.76,116.06,187.000
-33.31,115.94,287.000
-33.43,115.64,24.000
-33.79,116.32,254.000
-31.48,115.06,-32768.000
-31.03,115.22,-32768.000
-33.28,116.24,260.000
-33.97,116.58,218.000
-32.92,115.46,-32768.000
-31.03,116.34,233.000
-33.73,116.02,279.000
-32.65,115.62,4.000
-33.1,116.66,265.000
-32.95,116.02,361.000
-31.93,115.7,-32768.000
-31.36,116.78,196.000
-32.92,116.56,270.000
-33.73,115.2,46.000
-31.69,116.12,128.000
-32.23,115.34,-32768.000
-33.16,116.22,239.000
-33.34,116.16,230.000
-32.92,116.06,332.000
-31.72,115.46,-32768.000
-31.27,116.46,239.000
-33.28,116.5,295.000
-33.85,115,52.000
-31.51,116.38,264.000
-33.43,115.72,30.000
-31.87,115.36,-32768.000
-33.79,116.78,259.000
-31.99,116.18,258.000
-31.9,115.86,27.000
-31.03,116.52,307.000
-31.21,115.94,223.000
-33.79,116.16,291.000
-33.55,115.42,-32768.000
-31.78,115.58,-32768.000
-32.41,116.02,259.000
-33.31,116,251.000
-33.28,115.86,233.000
-32.68,115.96,92.000
-33.52,115.6,19.000
-32.02,115.52,-32768.000
-32.68,115.72,10.000
-33.25,115.74,10.000
-31.09,116.02,181.000
-31.15,116.84,282.000
-31.96,116.32,187.000
-33.61,116.88,237.000
-32.47,116.22,498.000
-31.51,115.4,-32768.000
-32.5,116.34,351.000
-33.46,116.12,277.000
-33.82,115.04,92.000
-32.62,115.84,9.000
-31.3,115.62,24.000
-32.17,116.8,209.000
-33.52,115.12,-32768.000
-32.74,115.54,-32768.000
-32.08,116.22,317.000
-33.64,116.36,266.000
-32.2,116.2,317.000
-33.22,115.12,-32768.000
-34,115.54,130.000
-31.36,115.78,60.000
-32.2,116.04,137.000
-33.46,116.42,261.000
-33.19,115.2,-32768.000
-33.61,115.72,113.000
-31.66,115.66,-32768.000
-32.08,116.2,312.000
-32.53,116.34,311.000
-31.81,115.5,-32768.000
-32.44,116.32,394.000
-33.22,115.3,-32768.000
-31.48,115.3,-32768.000
-31.72,115.76,48.000
-32.65,115.86,9.000
-31.9,115.04,-32768.000
-32.74,115.92,34.000
-31.06,116.16,271.000
-33.16,115.02,-32768.000
-33.64,115.32,-32768.000
-32.44,116.12,240.000
-31.33,115.5,30.000
-31.45,115.6,46.000
-31.06,116.06,256.000
-31.66,115.68,-32768.000
-31,116.4,275.000
-31.42,115.6,65.000
-32.65,115.52,-32768.000
-32.05,116.38,302.000
-33.64,115.42,6.000
-33.31,115.2,-32768.000
-32.32,116.66,246.000
-32.77,116.32,344.000
-31.96,116.06,254.000
-31.93,116.4,280.000
-33.25,116.6,354.000
-33.88,115.42,153.000
-32.47,115.26,-32768.000
-31.99,116.78,217.000
-33.31,115.96,281.000
-33.46,115.88,279.000
-31.78,115.44,-32768.000
-32.53,115.08,-32768.000
-31.78,115.38,-32768.000
-32.77,115.26,-32768.000
-33.31,116.72,337.000
-31.93,116.3,230.000
-33.1,116.6,363.000
-33.04,115.18,-32768.000
-31.63,116.96,235.000
-31.69,115.02,-32768.000
-33.31,115.06,-32768.000
-33.49,116.64,283.000
-31.87,116.5,271.000
-33.34,116.68,344.000
-33.16,116.88,320.000
-33.52,115.82,133.000
-32.65,115.04,-32768.000
-33.37,116.3,244.000
-31.63,115.38,-32768.000
-33.85,116.26,270.000
-33.19,115.04,-32768.000
-31.54,116.48,159.000
-31.51,116.14,274.000
-32.38,115.28,-32768.000
-33.55,116.22,256.000
-32.05,115.62,-32768.000
-33.64,115.78,87.000
-33.61,116.66,287.000
-32.02,116.66,276.000
-31.69,115.72,39.000
-31.69,116.9,186.000
-31.09,116.86,274.000
-32.26,115.44,-32768.000
-32.74,115.36,-32768.000
-31.57,115.72,54.000
-32.86,115.94,51.000
-33.4,115.14,-32768.000
-32.08,115.4,-32768.000
-32.98,115.04,-32768.000
-32.08,115.36,-32768.000
-32.5,116,228.000
-31.33,115.56,26.000
-33.67,116.26,249.000
-32.62,115.02,-32768.000
-32.89,116.56,315.000
-31.84,115.44,-32768.000
-33.58,115.28,-32768.000
-32.89,116.38,268.000
-31.39,116.44,234.000
